Resumen de solapamientos — Feature: feature_1
Tolerancia: 0.0
Total coincidencias: 12933
Pares de páginas con solapamiento: 1987

Par de páginas                            Solapamientos
pagina_77 <-> pagina_81                              9
pagina_78 <-> pagina_88                              9
pagina_80 <-> pagina_87                              9
pagina_81 <-> pagina_92                              9
pagina_100 <-> pagina_62                              8
pagina_100 <-> pagina_65                              8
pagina_100 <-> pagina_73                              8
pagina_36 <-> pagina_38                              8
pagina_38 <-> pagina_39                              8
pagina_42 <-> pagina_43                              8
pagina_42 <-> pagina_45                              8
pagina_47 <-> pagina_48                              8
pagina_48 <-> pagina_52                              8
pagina_48 <-> pagina_95                              8
pagina_49 <-> pagina_51                              8
pagina_49 <-> pagina_95                              8
pagina_49 <-> pagina_98                              8
pagina_49 <-> pagina_99                              8
pagina_52 <-> pagina_91                              8
pagina_52 <-> pagina_96                              8
pagina_52 <-> pagina_98                              8
pagina_53 <-> pagina_57                              8
pagina_53 <-> pagina_95                              8
pagina_54 <-> pagina_92                              8
pagina_55 <-> pagina_94                              8
pagina_57 <-> pagina_59                              8
pagina_57 <-> pagina_63                              8
pagina_59 <-> pagina_60                              8
pagina_60 <-> pagina_90                              8
pagina_61 <-> pagina_87                              8
pagina_62 <-> pagina_66                              8
pagina_62 <-> pagina_68                              8
pagina_62 <-> pagina_86                              8
pagina_62 <-> pagina_98                              8
pagina_63 <-> pagina_81                              8
pagina_63 <-> pagina_87                              8
pagina_65 <-> pagina_73                              8
pagina_65 <-> pagina_83                              8
pagina_65 <-> pagina_85                              8
pagina_65 <-> pagina_94                              8
pagina_65 <-> pagina_97                              8
pagina_66 <-> pagina_76                              8
pagina_66 <-> pagina_88                              8
pagina_67 <-> pagina_73                              8
pagina_67 <-> pagina_88                              8
pagina_67 <-> pagina_91                              8
pagina_67 <-> pagina_99                              8
pagina_68 <-> pagina_83                              8
pagina_68 <-> pagina_86                              8
pagina_68 <-> pagina_90                              8
pagina_69 <-> pagina_86                              8
pagina_69 <-> pagina_89                              8
pagina_70 <-> pagina_71                              8
pagina_70 <-> pagina_79                              8
pagina_70 <-> pagina_94                              8
pagina_71 <-> pagina_84                              8
pagina_71 <-> pagina_85                              8
pagina_71 <-> pagina_86                              8
pagina_71 <-> pagina_90                              8
pagina_71 <-> pagina_96                              8
pagina_71 <-> pagina_99                              8
pagina_72 <-> pagina_89                              8
pagina_72 <-> pagina_94                              8
pagina_73 <-> pagina_78                              8
pagina_73 <-> pagina_85                              8
pagina_73 <-> pagina_88                              8
pagina_73 <-> pagina_94                              8
pagina_73 <-> pagina_99                              8
pagina_74 <-> pagina_86                              8
pagina_74 <-> pagina_92                              8
pagina_74 <-> pagina_93                              8
pagina_75 <-> pagina_84                              8
pagina_76 <-> pagina_80                              8
pagina_76 <-> pagina_88                              8
pagina_76 <-> pagina_94                              8
pagina_77 <-> pagina_82                              8
pagina_77 <-> pagina_93                              8
pagina_82 <-> pagina_92                              8
pagina_100 <-> pagina_51                              7
pagina_100 <-> pagina_59                              7
pagina_100 <-> pagina_60                              7
pagina_100 <-> pagina_70                              7
pagina_17 <-> pagina_18                              7
pagina_29 <-> pagina_31                              7
pagina_29 <-> pagina_33                              7
pagina_36 <-> pagina_40                              7
pagina_41 <-> pagina_97                              7
pagina_44 <-> pagina_99                              7
pagina_48 <-> pagina_51                              7
pagina_48 <-> pagina_91                              7
pagina_48 <-> pagina_98                              7
pagina_49 <-> pagina_92                              7
pagina_51 <-> pagina_91                              7
pagina_51 <-> pagina_93                              7
pagina_51 <-> pagina_97                              7
pagina_52 <-> pagina_57                              7
pagina_52 <-> pagina_86                              7
pagina_53 <-> pagina_63                              7
pagina_53 <-> pagina_93                              7
pagina_53 <-> pagina_97                              7
pagina_54 <-> pagina_63                              7
pagina_54 <-> pagina_93                              7
